most_ads_day,most_ads_hour,test_group,users,conversions,conversion_rate,conversion_rate_pct
Wednesday,11,ad,6852,167,0.02437244600116754,2.4372446001167543
Wednesday,11,psa,274,3,0.010948905109489052,1.094890510948905
Wednesday,12,ad,6938,178,0.025655808590371865,2.5655808590371865
Wednesday,12,psa,367,6,0.01634877384196185,1.6348773841961852
Wednesday,13,ad,6508,165,0.02535341118623233,2.5353411186232333
Wednesday,13,psa,368,4,0.010869565217391304,1.0869565217391304
Wednesday,14,ad,5372,160,0.029784065524944156,2.9784065524944157
Wednesday,14,psa,231,4,0.017316017316017316,1.7316017316017316
Wednesday,15,ad,5734,172,0.02999651203348448,2.999651203348448
Wednesday,15,psa,277,5,0.018050541516245487,1.8050541516245486
Wednesday,16,ad,4616,165,0.035745233968804156,3.5745233968804158
Wednesday,16,psa,216,8,0.037037037037037035,3.7037037037037033
Wednesday,17,ad,4334,140,0.032302722658052604,3.2302722658052603
Wednesday,17,psa,228,3,0.013157894736842105,1.3157894736842104
Wednesday,18,ad,4073,112,0.027498158605450528,2.749815860545053
Wednesday,18,psa,246,7,0.028455284552845527,2.8455284552845526
Wednesday,19,ad,3894,81,0.020801232665639446,2.0801232665639446
Wednesday,19,psa,215,4,0.018604651162790697,1.8604651162790697
Wednesday,20,ad,3290,85,0.025835866261398176,2.5835866261398177
Wednesday,20,psa,204,4,0.0196078431372549,1.9607843137254901
Wednesday,21,ad,3351,92,0.027454491196657715,2.7454491196657713
Wednesday,21,psa,153,2,0.013071895424836602,1.3071895424836601
Wednesday,22,ad,3277,83,0.025328043942630454,2.5328043942630454
Wednesday,22,psa,157,3,0.01910828025477707,1.910828025477707
Wednesday,23,ad,2884,64,0.022191400832177532,2.219140083217753
Wednesday,23,psa,91,0,0.0,0.0
